names,image_paths,notation_paths,classes
NoLabel-12_20190905_035416.bmp,NoLabel\NoLabel-12_20190905_035416.bmp,,[1 0]
NoLabel-12_20190905_035708.bmp,NoLabel\NoLabel-12_20190905_035708.bmp,,[1 0]
NoLabel-12_20190905_035923.bmp,NoLabel\NoLabel-12_20190905_035923.bmp,,[1 0]
NoLabel-12_20190905_040413.bmp,NoLabel\NoLabel-12_20190905_040413.bmp,,[1 0]
NoLabel-12_20190905_040628.bmp,NoLabel\NoLabel-12_20190905_040628.bmp,,[1 0]
NoLabel-12_20190905_040750.bmp,NoLabel\NoLabel-12_20190905_040750.bmp,,[1 0]
NoLabel-12_20190905_040821.bmp,NoLabel\NoLabel-12_20190905_040821.bmp,,[1 0]
NoLabel-12_20190905_040829.bmp,NoLabel\NoLabel-12_20190905_040829.bmp,,[1 0]
NoLabel-12_20190905_040841.bmp,NoLabel\NoLabel-12_20190905_040841.bmp,,[1 0]
NoLabel-12_20190905_040855.bmp,NoLabel\NoLabel-12_20190905_040855.bmp,,[1 0]
NoLabel-12_20190905_040915.bmp,NoLabel\NoLabel-12_20190905_040915.bmp,,[1 0]
NoLabel-12_20190905_041055.bmp,NoLabel\NoLabel-12_20190905_041055.bmp,,[1 0]
NoLabel-12_20190905_041222.bmp,NoLabel\NoLabel-12_20190905_041222.bmp,,[1 0]
NoLabel-12_20190905_041303.bmp,NoLabel\NoLabel-12_20190905_041303.bmp,,[1 0]
NoLabel-12_20190905_041409.bmp,NoLabel\NoLabel-12_20190905_041409.bmp,,[1 0]
NoLabel-12_20190905_041428.bmp,NoLabel\NoLabel-12_20190905_041428.bmp,,[1 0]
NoLabel-12_20190905_041451.bmp,NoLabel\NoLabel-12_20190905_041451.bmp,,[1 0]
NoLabel-12_20190905_041518.bmp,NoLabel\NoLabel-12_20190905_041518.bmp,,[1 0]
NoLabel-12_20190905_041743.bmp,NoLabel\NoLabel-12_20190905_041743.bmp,,[1 0]
NoLabel-12_20190905_041802.bmp,NoLabel\NoLabel-12_20190905_041802.bmp,,[1 0]
NoLabel-12_20190905_041847.bmp,NoLabel\NoLabel-12_20190905_041847.bmp,,[1 0]
NoLabel-12_20190905_041922.bmp,NoLabel\NoLabel-12_20190905_041922.bmp,,[1 0]
NoLabel-12_20190905_041930.bmp,NoLabel\NoLabel-12_20190905_041930.bmp,,[1 0]
NoLabel-12_20190905_041944.bmp,NoLabel\NoLabel-12_20190905_041944.bmp,,[1 0]
NoLabel-12_20190905_042108.bmp,NoLabel\NoLabel-12_20190905_042108.bmp,,[1 0]
NoLabel-12_20190905_042132.bmp,NoLabel\NoLabel-12_20190905_042132.bmp,,[1 0]
NoLabel-12_20190905_042207.bmp,NoLabel\NoLabel-12_20190905_042207.bmp,,[1 0]
NoLabel-12_20190905_042241.bmp,NoLabel\NoLabel-12_20190905_042241.bmp,,[1 0]
NoLabel-12_20190905_042252.bmp,NoLabel\NoLabel-12_20190905_042252.bmp,,[1 0]
NoLabel-12_20190905_042330.bmp,NoLabel\NoLabel-12_20190905_042330.bmp,,[1 0]
NoLabel-12_20190905_042414.bmp,NoLabel\NoLabel-12_20190905_042414.bmp,,[1 0]
NoLabel-12_20190905_042433.bmp,NoLabel\NoLabel-12_20190905_042433.bmp,,[1 0]
NoLabel-12_20190906_015224.bmp,NoLabel\NoLabel-12_20190906_015224.bmp,,[1 0]
NoLabel-12_20190906_015241.bmp,NoLabel\NoLabel-12_20190906_015241.bmp,,[1 0]
NoLabel-12_20190906_015314.bmp,NoLabel\NoLabel-12_20190906_015314.bmp,,[1 0]
NoLabel-12_20190906_015329.bmp,NoLabel\NoLabel-12_20190906_015329.bmp,,[1 0]
NoLabel-12_20190906_015339.bmp,NoLabel\NoLabel-12_20190906_015339.bmp,,[1 0]
NoLabel-12_20190906_015400.bmp,NoLabel\NoLabel-12_20190906_015400.bmp,,[1 0]
NoLabel-12_20190906_015455.bmp,NoLabel\NoLabel-12_20190906_015455.bmp,,[1 0]
NoLabel-12_20190906_015509.bmp,NoLabel\NoLabel-12_20190906_015509.bmp,,[1 0]
NoLabel-12_20190906_015623.bmp,NoLabel\NoLabel-12_20190906_015623.bmp,,[1 0]
NoLabel-12_20190906_015656.bmp,NoLabel\NoLabel-12_20190906_015656.bmp,,[1 0]
NoLabel-12_20190906_015700.bmp,NoLabel\NoLabel-12_20190906_015700.bmp,,[1 0]
